(services),"(price, what the client pays in mxn)",(lab test instructions),
PERFIL ETS,0.00,,
PERFIL GINECOLOGICO,928.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PERFIL GLOBLINA TOTAL,0.00,Ayuno no indispensable,
PERFIL HEPÁTICO,601.00,AYUNO DE 8 HORAS,
PERFIL HORMONAL FEMENINO 1,749.00,AYUNO DE 8 HORAS\nContiene: \nHormona foliculo estimulante (FSH)\nHormona luteinizante (LH)\nProlactina serica\nTestosterona total\nProgesterona serica\nEstradiol\nCortisol en suero\nHormona de crecimiento basal\nHormona estimulante de tiroides (TSH,
PERFIL HORMONAL MASCULINO I,680.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO DE 12,
PERFIL INFECCIOSO PCR,0.00,"Tres días de abstinencia sexual, no tomar antibiótico 7 días antes de la toma",
PERFIL ITS POR PCR,"3,322.00","ABSTINENCIA SEXUAL DE 3 DIAS.\nSIN ANTIBIOTICOS, CREMAS, POMADAS, ANTIVIRALES 7 DIAS ANTES.\nSIN ESTAR MENSTRUANDO Y SIN DUCHAS VAGINALES.\nBAÑO DEL DIA.",
PERFIL MARCADORES TUMORALES BÁSICO,880.00,Ayuno de 8 a 12 horas\nContiene:\nFraccion Beta de HGC serica (cuantitativa)\nAlfafetoproteina (AFP)\nAg Carcinoembrionario (CEA),
PERFIL MARCADORES TUMORALES DE HIGADO,0.00,,
PERFIL MARCADORES TUMORALES DE OVARIO,"1,043.00",Ayuno de 8 a 12 horas,
PERFIL MARCADORES TUMORALES DE PRÓSTATA,254.00,El perfil incluye:\n- Antígeno prostático especifico (PSA total)\n- Antígeno prostático fracción libre (PSA libre)\n- Fosfatasa acida fracción prostática,
PERFIL MARCADORES TUMORALES DE TESTICULO,754.00,Ayuno de 8  a 12 horas,
PERFIL METABÓLICO,0.00,,
PERFIL PARA VIH (SIDA),"1,288.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
PERFIL PREOPERATORIO,412.00,AYUNO DE 8 HORAS,
PERFIL RENAL II,675.00,RECOLECTAR LA MUESTRA  EN UNA FRASCO ESTÉRIL - AYUNO DE 8 HORAS,
PERFIL TIROIDEO,390.00,AYUNO DE 8 HORAS,
PERFIL TIROIDEO BASICO,0.00,Ayuno no Indispensable,
PERFIL TIROIDEO DIOSAKEN,0.00,,
PERFIL TIROIDEO HOSPITAL,0.00,,
PERFIL TIROIDEO III,900.00,AYUNO  MINIMO DE 8 HRS\n\n T3 uptake\n Triyodotironina (T3) total\n Tiroxina (T4) captacion\n Tiroxina (T4) total\n Yodo proteico ( IP)\n Hormona estimulante de tiroides (TSH)\n Ac anti microsomales de peroxidasa (a-TPO)\n Ac anti tiroglobulina (a-TG)\n Tiroglobulina,
PERFIL TIROIDEO IV,699.00,AYUNO  MINIMO DE 8 HRS\n\n Triyodotironina (T3) total\n Tiroxina (T4) total\n Hormona estimulante de tiroides (TSH)\n Triyodotironina (T3) libre\n Tiroxina (T4) libre,
PERFIL TIROIDEO QFB ILITHIA,0.00,,
PRENUPCIAL,0.00,Ayuno no Indispensable.,
PRENUPCIAL PROMOCION,0.00,Ayuno no Indispensable,
PRUEBAS DE FUNCIÓN HEPÁTICA,245.00,AYUNO DE 8 A 12 HORAS,
PRUEBAS DE FUNCIONAMIENTO HEPÁTICO HOSPITAL,0.00,,
PRUEBAS DE FUNCIONAMIENTO HEPATICO VETERINARIO,0.00,,
QUÍMICA SANGUÍNEA  3 ELEMENTOS,0.00,AYUNO DE 10 A 12 HORAS,
QUIMICA SANGUINEA 12 ELEMENTOS,335.34,AYUNO DE 8 A 12 HORAS,
QUÍMICA SANGUÍNEA 14 ELEMENTOS,499.00,Ayuno de 8 a 12 horas\nContenido:\n\nGlucosa sérica\nUrea sérica\nNitrógeno ureico sérico (BUN)\nCreatinina sérica\nÁcido úrico sérico\nColesterol total\nTriglicéridos\nColesterol de alta densidad (HDL)\nColesterol de baja densidad (LDL)\nColesterol de muy baja densidad (VLDL)\nIndice aterogénico\nProteínas totales\nAlbúmina sérica\nGlobulina\nRelación albúmina - globulina\nCalcio en suero,
QUIMICA SANGUINEA 18 ELEMENTOS EXPRESS,899.00,Ayuno de 8 a 12  hrs ,
QUÍMICA SANGUÍNEA 24 ELEMENTOS,465.00,AYUNO DE 8 A 12 HORAS,
QUÍMICA SANGUÍNEA 27 ELEMENTOS,799.00,AYUNO DE 8 A 12 HORAS,
QUIMICA SANGUINEA 3 ELEMENTOS,0.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
QUÍMICA SANGUÍNEA 3 ELEMENTOS,171.00,Ayuno de 8 horas. Recolectar en tubo tapon dorado,
QUÍMICA SANGUÍNEA 33 ELEMENTOS,577.00,AYUNO DE 8 A 12 HORAS,
QUÍMICA SANGUÍNEA 38 ELEMENTOS,890.00,AYUNO DE 8 A 12 HORAS,
QUÍMICA SANGUÍNEA 38 ELEMENTOS,818.97,AYUNO MÍNIMO DE 10 HORAS MÁXIMO DE 12,
QUIMICA SANGUINEA 4 ELEMENTOS,0.00,Ayuno 8 horas,
QUIMICA SANGUINEA 44 ELEMENTOS,"2,330.00",AYUNO DE 8 A 12 HORAS,
QUÍMICA SANGUÍNEA 5 ELEMENTOS,242.00,AYUNO DE 8 A 12 HORAS,
QUÍMICA SANGUÍNEA 6 ELEMENTOS,390.00,AYUNO DE 8 A 12 HORAS,
REACCIONES FEBRILES,0.00,Ayuno no Indispensable,
TEST O'SULLIVAN,372.00,1. Ayuno de 8 horas\n2. Se requiere primero tomar un estudio de glucosa basal (el cual se cobrará por separado)\n3. No se podrá realizar procedimiento si la glucosa inicial es mayor a 100 mg/dl,
TIEMPO DE PROTROMBINA Y TIEMPO DE TROMBOPLASTINA PARCIAL ACTIVADA,0.00,,
TORCH IgG e IgM,0.00,,
 CR COLUMNA LUMBAR 4 PROYECCIONES,"1,086.00",,
% DE ACTIVIDAD,0.00,,
17  ALFA HIDROXI PROGESTERONA SERICA,412.00,AYUNO MÍNIMO DE  8 HORAS MÁXIMO 12,
17 ALFA-HIDROXIPROGESTERONA SÉRICA,443.00,,
17 CETOESTEROIDES EN ORINA 24 HORAS,284.00,EN UN CONTENEDOR ESTÉRIL RECOLECTAR ORINA DE 24 HRS. A PARTIR DE LA 2A. ORINA HASTA LA 1A DEL SIGUIENTE DÍA,
17 CETOESTEROIDES EN SUERO,284.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
17 HIDROXI ESTEROIDES 17 (ORINA),0.00,Recolectar muestra de orina 24 horas,
17 HIDROXI ESTEROIDES EN SUERO,318.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
17 HIDROXICORTICOESTEROIDES  EN SUERO,343.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
17 HIDROXICORTICOESTEROIDES EN ORINA DE 24 HRS,343.00,EN UN RECIPIENTE ESTÉRIL RECOLECTAR ORINA DE 24 HRS. A PARTIR DE LA 2A. ORINA HASTA LA 1A. DEL SIGUIENTE DÍA,
2 MERCAPTO-ETANOL,395.69,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
2 PROYECCIONES PRINCIPALES,0.00, SERVICIO DE TOMA DE 2 PROYECCIONES PRINCIPALES,
2 RADIOGRAFÍAS ADICIONALES,0.00,2 RADIOGRAFÍAS ADICIONALES,
2 SERVICIOS A DOMICILIO LAB 10-20 KM,0.00,,
2 TOMA /PRUEBA RÁPIDA ANTÍGENO COVID CASSET PROMOCIÓN MAYO ,0.00,,
3 PROYECCIONES RX CONVENIO CENTRAL ADN,0.00, SERVICIO DE TOMA DE 3 PROYECCIONES PRINCIPALES,
3 RADIOGRAFÍAS ADICIONALES,0.00,,
4 PROYECCIONES ADICIONALES CENTRAL ADN,0.00, SERVICIO DE TOMA DE 4 PROYECCIONES ADICIONALES,
AC ANTI ( JO - 1),698.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
"AC ANTI AG ""e"" DE HEPATITIS B (aHBe)",343.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
"AC ANTI AG ""s"" DE HEPATITIS B (aHBs)",382.00,AYUNO MÍNIMO DE 8 HORAS ,
"AC ANTI BETA 2 GLUCOPROTEÍNA IGA, IGM E IGG","1,594.00",AYUNO MÍNIMO DE 8 ,
AC ANTI BLOQUEADORES ACETILCOLINA,"3,171.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI CHIKUNGUNYA (IgG),473.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI CHLAMYDIA TRACHOMATIS (IgA),338.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI CHLAMYDIA TRACHOMATIS (IgG),292.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI CHLAMYDIA TRACHOMATIS (IgM),292.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI CITOPLASMA DE NEUTROFILO (C Y P) IFI,650.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI DENGUE (IgG),338.00,AYUNO DE 8 HORAS,
AC ANTI DENGUE (IgM),338.00,AYUNO DE 8 HORAS,
AC ANTI DONADOR ESPECÍFICO (DSA),"8,841.00",NO REQUIERE AYUNO,
AC ANTI ECHO VIRUS EN SUERO,"3,297.00",AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI ENDOMISIO (IgA),"1,228.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI ENDOMISIO (IgG),"1,228.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI EPSTEIN BARR (IgM) AG TEMPRANO,243.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI EPTEIN BARR (IgM) AG NUCLEAR,800.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI GLIADINA (IgA),740.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI GLIADINA (IgM),740.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI HEPATITIS A IgG (HAV-G),257.00,AYUNO MÍNIMO 8 HORAS,
Ac anti hepatitis C (aHCV),0.00,,
AC ANTI HEPATITIS E (IGG),0.00,AYUNO DE 8 A 12 HORAS,
AC ANTI ISLOTES DE LANGERHANS,"2,417.00",Ayuno de 8 a 12 horas,
AC ANTI MODULADORES ACETILCOLINA,"3,439.00",AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI MYCOBACTERIUM TUBERCULOSIS (IgM),534.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI MYCOPLASMA PNEUMONIAE (IgG),343.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI MYCOPLASMA PNEUMONIAE (IgM),343.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI NEUMOCOCO,516.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC ANTI NUCLEOSOMA (N-h-Ab),861.00,Ayuno mínimo de 8 horas máximo 12,
AC ANTI PEROXIDASA TIROIDEA (A-TPO),0.00,,
AC ANTI ROTAVIRUS (IgG),"3,422.00",Ayuno mínimo de 8 horas máximo 12,
AC ANTI ROTAVIRUS (IgM),353.00,Ayuno mínimo de 8 horas máximo 12,
AC ANTI SINCICIAL RESPIRATORIO (IgG),"2,112.00",Ayuno mínimo de 8 horas máximo 12,
AC ANTI SINCICIAL RESPIRATORIO (IgM),"2,112.00",Ayuno mínimo 8 horas máximo 12,
AC ANTI SMITH (SM),293.00,AYUNO DE 8 HORAS,
"AC ANTI TIROIDES TPO, TG",283.00,Ayuno de 8 a 12 horas,
AC ANTI TOXOCARA CANIS (IgG),257.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC ANTI TOXOPLASMA GONDII (IgG),331.00,Ayuno mínimo de 8 horas máximo 12,
AC ANTI TOXOPLASMA GONDII (IgM),331.00,Ayuno mínimo de 8 horas máximo 12,
AC ANTI TRANSGLUTAMINASA (IgA),"2,035.00",AYUNO DE 8 HORAS,
AC DE CENTRO DE HEPATITIS B CORE (aHBc),279.00,Ayuno mínimo de 8 horas máximo 12,
AC DE CENTRO DE HEPATITIS B CORE IgM (aHBcM),279.00,Ayuno mínimo de 8 horas máximo 12,
AC PEPTIDO CÍCLICO CITRULINADO (CCP),678.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC.  ANTI RECEPTOR TSH,"1,356.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI BORRELLIA BURGDORFERI IgG,536.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI BORRELLIA BURGDORFERI IgM,536.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI CARDIOLIPINAS IgG,250.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI CARDIOLIPINAS IgM,412.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI CELULAS PARIETALES,740.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI CENTROMERO IgG,475.00,Ayuno no indispensable,
AC. ANTI CHIKUNGUNYA IgG e IgM,"1,033.00",Ayuno de 8 a 10 horas,
AC. ANTI CISTICERCO EN SUERO,388.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI CITOMEGALOVIRUS IgG,217.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI CITOMEGALOVIRUS IgM,217.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI CITOPLASMA DE NEUTROFILO  (ANCA C),387.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI CITOPLASMA DE NEUTROFILO (ANCA P),387.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI COCCIDIOIDES IMMITIS,0.00,Ayuno no Indispensable,
AC. ANTI CRYPTOCOCCUS NEOFORMANS,"2,885.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI DNA CADENA SENCILLA,400.00,AYUNO DE 8 HORAS MÁXIMO 12,
AC. ANTI DNA DE DOBLE CADENA,250.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI DNA NATIVO,0.00,Ayuno no Indispensable,
AC. ANTI ENDOMESIALES,0.00,,
AC. ANTI ENTAMOEBA HISTOLYTICA (SERAMEBA),376.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI EPSTEIN BAAR (IgG) AG TEMPRANO,610.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI EPSTEIN BAAR (IgG) CÁPSIDE,284.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI EPSTEIN BAAR (IgM) CÁPSIDE,257.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI EPSTEIN BAAR IgG Ag. NUCLEAR,0.00,Ayuno no Indispensable,
AC. ANTI ESPERMATOZOIDES (DIRECTOS),243.00,MUESTRA DE ESPERMA RECIENTE Y AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12\n,
AC. ANTI ESPERMATOZOIDES (INDIRECTOS),0.00,Muestra de esperma reciente recolectada en frasco esteril.\nAyuno no indispensable,
AC. ANTI FACTOR INTRINSECO TOTALES,"1,958.00",Ayuno de 12 horas,
AC. ANTI FOSFOLIPIDOS IgG,250.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI FOSFOLIPIDOS IgM,250.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI GAD 65 (ACIDO GLUTAMICO DESCARBOXILASA),813.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HELICOBACTER PYLORI IgA,0.00,Ayuno no Indispensable,
AC. ANTI HELICOBACTER PYLORI IgG,0.00,Ayuno no Indispensable,
AC. ANTI HELICOBACTER PYLORI IgM,257.00,AYUNO DE 8 HORAS,
AC. ANTI HEPATITIS A IgG,0.00,Ayuno no Indispensable,
AC. ANTI HEPATITIS A IgM (HAV-M),257.00,AYUNO MÍNIMO 8 HORAS ,
AC. ANTI HEPATITIS C (aHCV),279.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HEPATITIS D (HDV),257.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HEPATITIS E (IgG),"1,221.00",AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HEPATITIS E (IgM),"1,221.00",AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HERPES I (IgG),310.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HERPES I (IgM),310.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HERPES II (IgG),310.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HERPES II (IgM),310.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HISTONAS,441.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
AC. ANTI HISTOPLASMA CAPSULATUM,468.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI HIV 1 Y 2 (aHIV-1 / aHIV-2 ),499.00,AYUNO DE 8 HORAS ,
AC. ANTI INSULINA,0.00,AYUNO DE 8 HORAS,
AC. ANTI LEPTOSPIRA,0.00,Ayuno no Indispensable,
AC. ANTI LEUCOCITOS,0.00,Ayuno 8 horas,
AC. ANTI LKM/1 (IgG) MICROSOMALES HÍGADO Y RIÑÓN,536.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI MEMBRANA BASAL GLOMERULAR,"1,017.00",AYUNO DE 8 HORAS,
AC. ANTI MITOCONDRIALES,325.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI MUSCULO LISO,338.00,AYUNO DE 8 HORAS ,
AC. ANTI MYCOBACTERIUM PNEUMONIAE IgG,0.00,Ayuno ni Indispensable,
AC. ANTI MYCOBACTERIUM PNEUMONIAE IgM,0.00,Ayuno no Indispensable,
AC. ANTI MYCOBACTERIUM TUBERCULOSIS (IgG),536.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
AC. ANTI NUCLEARES (ANA),645.00,AYUNO DE 8 HORAS,
AC. ANTI NUCLEARES IFI (ANA),"1,099.00",Ayuno mínimo de 8 horas máximo 12,
AC. ANTI PAPOVAVIRUS,0.00,Ayuno no Indispensable,
AC. ANTI PAROTIDITIS (IgG),387.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
AC. ANTI PAROTIDITIS (IgM),387.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
AC. ANTI PARVOVIRUS B19 (IgG e IgM),0.00,Ayuno no Indispensable,
AC. ANTI PEROXIDASA TIROIDEA (a-TPO),278.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI PLAQUETARIOS,0.00,Ayuno no Indispensable,
AC. ANTI RECEPTORES ACETILCOLINA,983.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
AC. ANTI RETICULINA,257.00,AYUNO DE 8 HORAS,
AC. ANTI RIBONUCLEOPROTEINA (RNP),318.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI RICKETSIA (IgG),"1,153.00",Ayuno mínimo de 8 horas máximo 12,
AC. ANTI RICKETSIA (IgM),"1,153.00",Ayuno mínimo de 8 horas máximo 12,
AC. ANTI RNA,658.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI RUBEOLA (IgG),353.00,Ayuno mínimo 8 horas máximo 12,
AC. ANTI RUBEOLA (IgM),353.00,Ayuno mínimo 8 horas máximo 12,
AC. ANTI SALMONELLA SP,"1,614.00",Ayuno mínimo de 8 horas máximo 12,
AC. ANTI SARAMPION (IgG),284.00,AYUNO DE 8 HORAS,
AC. ANTI SARAMPION (IgM),284.00,AYUNO DE 8 HORAS,
AC. ANTI SCL-70 (ANTI-ESCLERODERMIA),327.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI SSA (Ro),314.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI SSB (La),314.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI TIROGLOBILINA (a-TG),259.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI TOXOPLASMA IgG,0.00,,
AC. ANTI TOXOPLASMA IgM,0.00,,
AC. ANTI TRANSGLUTAMINASA (IgA) E (IgG),"1,434.00","AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
AC. ANTI TREPONEMA PALLIDUM (FTA ABS),572.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI TREPONEMA PALLIDUM (Sífilis),391.00,Ayuno mínimo 8 horas máximo 12,
AC. ANTI TRYPANOSOMA CRUZI  (CHAGAS),333.00,Ayuno mínimo 8 horas máximo 12,
AC. ANTI TUBERCULOSIS MTB,0.00,,
AC. ANTI VARICELA IgG (HERPES ZOSTER),383.00,Ayuno mínimo de 8 horas máximo 12,
AC. ANTI VARICELA IgM (HERPES ZOSTER),383.00,Ayuno mínimo 8 horas máximo 12,
ACETAMINOFEN (TYLENOL),508.00,Ayuno mínimo de 8 horas máximo 12,
ACETONA EN SUERO,359.00,Ayuno mínimo de 8 horas máximo 12,
ACIDO 5-HIDROXI-INDOLACETICO EN ORINA DE 24 HRS,692.00,Recolectar orina de 24 horas. A partir de la 2a. orina hasta la primera del siguiente día.\nEnvase de agua,
ÁCIDO ASCORBICO (VITAMINA C),"1,967.00",,
ACIDO DELTA-AMINOLEVULINICO EN ORINA DE 24 HRS. (DAL),380.00,Recolectar orina de 24 horas. A partir de la primera orina hasta la primera del siguiente día.\nRecolectar en envase de agua,
ÁCIDO FÓLICO (FOLATOS),599.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO DE 12,
ÁCIDO HIPURICO (TOLUENO) EN ORINA,862.00,Orina al azar,
ÁCIDO METILMALÓNICO,0.00,,
ÁCIDO ÚRICO,118.00,AYUNO MÍNIMO DE 4 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
ÁCIDO ÚRICO URINARIO 24 HORAS,118.00,"RECOLECTAR ORINA DE 24 HRS ,EMPEZANDO DESDE LA 2 ORINA DE  LA MAÑANA HASTA LA PRIMERA DEL DIA SIGUIENTE( TODA LAS VECES QUE VAYA EL BAÑO SE TIENE QUE RECOLECTAR LA ORINA SIN OMITIR NINGUNA MICCION) RECOLECTARLA EN UN ENVASE PARA ORINA DE 24 HRS O EN UNA BOTELLA QUE CONTENGA AGUA SIMPLE. **NO SE ACEPTARA ENVASES DE REFRESCO NI NINGUN ENVASE O RECIPIENTE QUE CONTENGA AZUCARES .",
ÁCIDO VALPROICO,353.00,1.AYUNO DE 8 HORAS. \n2. ANOTAR FECHA DE ÚLTIMA DOSIS,
ÁCIDO VANILMANDELICO EN ORINA DE 24 HRS.,338.00,Recolectar orina de 24 horas. A partir de la 2a. orina hasta la 1a. del siguiente día,
ÁCIDOS GRASOS LIBRES EN SUERO,293.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
ACTIVIDAD TRIPTICA EN HECES,235.00,MUESTRA DE HECES RECIENTE EN FRASCO ESTÉRIL,
ADRENALINA EN ORINA DE 24 HORAS,359.00,Recolectar orina de 24 horas. A partir de la 2a. orina hasta la 1a. del siguiente día,
ADRENALINA EN PLASMA,359.00,Ayuno no Indispensable,
"AG ""e"" DE HEPATITIS B (HBeAg)",264.00,Ayuno mínimo de 8 horas máximo 12,
"AG ""s"" DE HEPATITIS B (HBsAg)",599.00,Ayuno mínimo de 8 horas máximo 12,
AG DE HISTOCOMPATIBILIDAD HLA-B27,"1,193.00",Ayuno no Indispensable,
AG GIARDIA LAMBLIA,"1,017.00",En un contenedor de plástico estéril colocar 10 grs. de heces fecales recientes,
AG NS1 vs DENGUE,"1,295.69",Ayuno mínimo de 8 horas máximo 12,
AG PROSTÁTICO ESPECÍFICO (PSA TOTAL),299.00,1. AYUNO MÍNIMO DE 8 HORAS\n2. ABSTINENCIA SEXUAL DE 48 A 72 HORAS,
AG PROSTÁTICO FRACCIÓN LIBRE (PSA LIBRE),599.00,1. AYUNO MÍNIMO DE 8 HORAS.\n2. ABSTINENCIA SEXUAL DE 48 HORAS.,
AG. CHLAMYDIA TRACHOMATIS,393.00,"Aseo normal, no aplicar óvulos, cremas vaginales, lubricantes, etc.",
AG. HELICOBACTER PYLORI EN HECES,617.00,Recolectar heces fecales reciente,
ALANINA AMINOTRANSFERASA (ALT/TGP),146.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n",
ALBÚMINA,118.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n",
ALBUMINA EN ORINA DE 24 HRS,299.00,"1. RECOLECTAR A PARTIR DE LA SEGUNDA ORINA DE LA MAÑANA TERMINANDO CON LA PRIMERA ORINA DEL DÍA SIGUIENTE.\n2. RECOLECTAR EN UN CONTENEDOR DE AGUA VACÍO Y SECO.\n3. CONSERVAR EL RECIPIENTE EN UN LUGAR FRESCO, NO REFRIGERAR.\n",
